"HeroProductID","NeueArtikelnummer","UrspruenglicheArtikelnummer","Bezeichnung","Beschreibung","Preis","Lieferant","Typ","DeaktiviertAm"
"GRT7qxmfoAA","DUPLIKAT-231371008-GRT7","231371008","[DUPLIKAT] 231371008","WALRAVEN Brandschutzmanschette Pacifyre AWM III für brennbares Rohr 125 mm","45,2","J.W. Zander GmbH & Co. KG","Identisches Duplikat","2026-01-26 22:15:47"
"GRUAi2g-wAA","DUPLIKAT-231370006-GRUA","231370006","[DUPLIKAT] 231370006","WALRAVEN Brandschutzmanschette Pacifyre AWM II für br. Rohr / ged. MSV 90 mm","59,99","J.W. Zander GmbH & Co. KG","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQwTXgAA","DUPLIKAT-GWS.LV23-08.03.21-Ge7L","GWS.LV23-08.03.21","[DUPLIKAT] GWS.LV23-08.03.21","Anschlussfugen außen oder innen auskratzen und mit elastischer, fungizider Dichtungsmasse,
je nach Einsatzbereich mit UV-beständiger Acryl- oder Silikonmasse, verfugen.

Hersteller/ Fabrikat:
PCI
oder gleichw.
angeb. Fabrikat:

'.........'","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRZxXgAA","DUPLIKAT-GWS.LV23-12.01.3-Ge7L","GWS.LV23-12.01.3","[DUPLIKAT] GWS.LV23-12.01.3","Mehr/ -Minderposition als zu erwartende Minderkosten,
die nicht in der Psch zur Ausführung der Badrenovierung kommen.
Minderkosten  zu:
Pos 1 Duschbad,- oder
Pos 2 Wannenausführung
Mehrkosten zur gesonderten Ausstattung/ Ausführung
sind über die Wahlpositionen zu benennen/ beziehen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LRcWXgAA","DUPLIKAT-GWS.LV23-12.06.2-Ge7L","GWS.LV23-12.06.2","[DUPLIKAT] GWS.LV23-12.06.2","Mehr/ -Minderposition als zu erwartende Minderkosten,
die nicht in der Psch zur Ausführung der Badrenovierung kommen.
Minderkosten  zu:
Pos 1 Leistungspaket
Mehrkosten zur gesonderten Ausstattung/ Ausführung
sind über die Wahlpositionen zu benennen/ beziehen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQvWXgAA","DUPLIKAT-GWS.LV23-08.03.1-Ge7L","GWS.LV23-08.03.1","[DUPLIKAT] GWS.LV23-08.03.1","Vorhandenes Türblatt ausbauen und mit Hilfe einer Massivholzleiste verlängern.
Holzart wie Bestand.
Länge und Dimension in Anlehnung an Bestand","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQvaXgAA","DUPLIKAT-GWS.LV23-08.03.2-Ge7L","GWS.LV23-08.03.2","[DUPLIKAT] GWS.LV23-08.03.2","Beschädigtes Stoßbrett der Haustür demontieren,
neues Stoßbrett in gleicher Ausführung und
Dimension herstellen,mit korrosionsbeständigen Verbindungsmaterialien befestigen.

Ausführung:
Stirnkanten abgeschrägt,
Holzoberfläche, glatt.
Sperrholz AW 100 oder Kiefer.
bis 150 x 35 x 3 cm","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQveXgAA","DUPLIKAT-GWS.LV23-08.03.3-Ge7L","GWS.LV23-08.03.3","[DUPLIKAT] GWS.LV23-08.03.3","Beschädigtes Trittblech (Sockelblech) an der Haus- oder Wohnungstür demontieren, vorhandene
Befestigungslöcher verschließen,
Untergrund säubern und grundieren,
neues Blech  Stärke&gt; 2mm
aus Aluminium liefern
und maßgerecht mit V2A Schrauben einbauen.
Dimensionsausführung wie Bestand.

Einbauhöhe: max 25 cm","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQvhXgAA","DUPLIKAT-GWS.LV23-08.03.4-Ge7L","GWS.LV23-08.03.4","[DUPLIKAT] GWS.LV23-08.03.4","Beschädigtes Trittblech (Sockelblech) an der Haus- oder Wohnungstür richten,
lose Schrauben oder Nägel entfernen und mit  V2A Schrauben neu befestigen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
"Ge7LQvnXgAA","DUPLIKAT-GWS.LV23-08.03.6-Ge7L","GWS.LV23-08.03.6","[DUPLIKAT] GWS.LV23-08.03.6","Beschädigte Türbekleidung (waagerecht und/ oder senkrecht) ausbauen und neu
geliefertes/angefertigtes Bekleidungsteil, glatt abgerundet, bis 20 x 120 mm, maßgerecht einbauen.","0","GWS 2025-01","Identisches Duplikat","2026-01-26 22:15:47"
