"ATBS","Bauvorhaben","VorhandeneDokumente"
"ATBS-208","gws - Mengeder Str 606 - Sanierung Dielen rechter Strang","S Sonstiges"
"ATBS-212","privat - Foerster - Hainallee 64 44139 Dortmund - 5OG links","S Sonstiges"
"ATBS-213","DIM - Duesterstr 7 Dortmund - 1OG","ANG-Ku Angebot Kunde"
"ATBS-214","DIM - Duesterstr 7 Dortmund - 2OG rechts","ANG-Ku Angebot Kunde"
"ATBS-215","privat - Alma Dreyer - Grefrather Weg 98 Neuss - 3OG","ANG-Ku Angebot Kunde, S Sonstiges"
"ATBS-228","DIM - Duesterstr 7 Dortmund - Zaehlerplatzzentralisierung","ANG-Ku Angebot Kunde"
"ATBS-242","Forte Capital - Tiergartenstr. 265 Wuppertal - 3. OG rechts","S Sonstiges"
"ATBS-244","gws - Im Heidegrund 5 Dortmund - 3.OG Mitte","S Sonstiges"
"ATBS-284","Covivio - KÃ¶stersfeld 54 Oberhausen - EG 1vl","NUA-S NU-Auftrag Schluss"
"ATBS-285","Covivio - Leimgardtsfeld 27 45355 Essen - 2OG 1vl","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss"
"ATBS-291","privat - Mozartstr. 23, Hamm-Pelkum - EFH","NUA-S NU-Auftrag Schluss"
"ATBS-296","gws - Friedrich-Ebert-Str.3,44263 Dortmund - 1.OG rechts-vorne","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-NU-A  Eingangsrechnung NU - Abschlag, S Sonstiges"
"ATBS-299","Holger - RobertstraÃe 30, Hamm - DG rechts","NUA-S NU-Auftrag Schluss"
"ATBS-300","gws - HÃ¶rder Rathausstr. 32 44263 Dortmund - 1OG rechts vorne","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-NU-A  Eingangsrechnung NU - Abschlag"
"ATBS-308","VBW - Matthias Claudius Str. 3 Bochum - 3.OG rechts","NUA-S NU-Auftrag Schluss, ER-NU-S  Eingangsrechnung NU - Schluss, ER-NU-A  Eingangsrechnung NU - Abschlag"
